day,date,service_key,platform,suggested_file
1,2025-09-22,budgeting,facebook_linkedin,posts/facebook_linkedin/budgeting_v1.md
2,2025-09-23,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
3,2025-09-24,integration,stocktwits,posts/stocktwits/integration_v1.txt
4,2025-09-25,alerts,discord,posts/discord/alerts_v2.md
5,2025-09-26,gold,video,video_scripts/shorts/gold_v1.md
6,2025-09-27,exchange,facebook_linkedin,posts/facebook_linkedin/exchange_v2.md
7,2025-09-28,assetcreator,x_twitter,posts/x_twitter/assetcreator_v1.txt
8,2025-09-29,retirement,stocktwits,posts/stocktwits/retirement_v2.txt
9,2025-09-30,realtime,discord,posts/discord/realtime_v1.md
10,2025-10-01,community,video,video_scripts/shorts/community_v2.md
11,2025-10-02,budgeting,facebook_linkedin,posts/facebook_linkedin/budgeting_v1.md
12,2025-10-03,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
13,2025-10-04,integration,stocktwits,posts/stocktwits/integration_v1.txt
14,2025-10-05,alerts,discord,posts/discord/alerts_v2.md
15,2025-10-06,gold,video,video_scripts/shorts/gold_v1.md
16,2025-10-07,exchange,facebook_linkedin,posts/facebook_linkedin/exchange_v2.md
17,2025-10-08,assetcreator,x_twitter,posts/x_twitter/assetcreator_v1.txt
18,2025-10-09,retirement,stocktwits,posts/stocktwits/retirement_v2.txt
19,2025-10-10,realtime,discord,posts/discord/realtime_v1.md
20,2025-10-11,community,video,video_scripts/shorts/community_v2.md
21,2025-10-12,budgeting,facebook_linkedin,posts/facebook_linkedin/budgeting_v1.md
22,2025-10-13,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
23,2025-10-14,integration,stocktwits,posts/stocktwits/integration_v1.txt
24,2025-10-15,alerts,discord,posts/discord/alerts_v2.md
25,2025-10-16,gold,video,video_scripts/shorts/gold_v1.md
26,2025-10-17,exchange,facebook_linkedin,posts/facebook_linkedin/exchange_v2.md
27,2025-10-18,assetcreator,x_twitter,posts/x_twitter/assetcreator_v1.txt
28,2025-10-19,retirement,stocktwits,posts/stocktwits/retirement_v2.txt
29,2025-10-20,realtime,discord,posts/discord/realtime_v1.md
30,2025-10-21,community,video,video_scripts/shorts/community_v2.md
31,2025-10-22,budgeting,facebook_linkedin,posts/facebook_linkedin/budgeting_v1.md
32,2025-10-23,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
33,2025-10-24,integration,stocktwits,posts/stocktwits/integration_v1.txt
34,2025-10-25,alerts,discord,posts/discord/alerts_v2.md
35,2025-10-26,gold,video,video_scripts/shorts/gold_v1.md
36,2025-10-27,exchange,facebook_linkedin,posts/facebook_linkedin/exchange_v2.md
37,2025-10-28,assetcreator,x_twitter,posts/x_twitter/assetcreator_v1.txt
38,2025-10-29,retirement,stocktwits,posts/stocktwits/retirement_v2.txt
39,2025-10-30,realtime,discord,posts/discord/realtime_v1.md
40,2025-10-31,community,video,holidays/community_Halloween_video.md
41,2025-11-01,budgeting,facebook_linkedin,posts/facebook_linkedin/budgeting_v1.md
42,2025-11-02,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
43,2025-11-03,integration,stocktwits,posts/stocktwits/integration_v1.txt
44,2025-11-04,alerts,discord,posts/discord/alerts_v2.md
45,2025-11-05,gold,video,video_scripts/shorts/gold_v1.md
46,2025-11-06,exchange,facebook_linkedin,posts/facebook_linkedin/exchange_v2.md
47,2025-11-07,assetcreator,x_twitter,posts/x_twitter/assetcreator_v1.txt
48,2025-11-08,retirement,stocktwits,posts/stocktwits/retirement_v2.txt
49,2025-11-09,realtime,discord,posts/discord/realtime_v1.md
50,2025-11-10,community,video,video_scripts/shorts/community_v2.md
51,2025-11-11,budgeting,facebook_linkedin,holidays/budgeting_VeteransDay_facebook_linkedin.md
52,2025-11-12,portfolio,x_twitter,posts/x_twitter/portfolio_v2.txt
